Rank, Book_Title, Author,Column1
634,Verity,Colleen Hoover (Goodreads Author),4.33 avg rating — 2 540 714 ratings
635,Geek Love,Katherine Dunn,3.96 avg rating — 66 873 ratings
636,The Sirens of Titan,Kurt Vonnegut Jr.,4.15 avg rating — 139 909 ratings
637,Death on the Nile (Hercule Poirot  #18),Agatha Christie,4.12 avg rating — 251 529 ratings
638,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,4.01 avg rating — 846 059 ratings
639,Odd Thomas (Odd Thomas  #1),Dean Koontz (Goodreads Author),3.99 avg rating — 267 967 ratings
640,Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,4.24 avg rating — 91 733 ratings
641,Cosmos,Carl Sagan,4.39 avg rating — 145 098 ratings
642,Under the Dome,Stephen King (Goodreads Author),3.92 avg rating — 297 870 ratings
643,Prodigal Summer,Barbara Kingsolver,4.03 avg rating — 113 285 ratings
644,Jitterbug Perfume,Tom Robbins,4.23 avg rating — 76 323 ratings
645,The Sisterhood of the Traveling Pants (Sisterhood  #1),Ann Brashares,3.84 avg rating — 701 431 ratings
646,Corelli's Mandolin,Louis de Bernières,4.01 avg rating — 86 475 ratings
647,A Heartbreaking Work of Staggering Genius,Dave Eggers,3.69 avg rating — 180 401 ratings
648,The Iliad,Homer,3.90 avg rating — 447 689 ratings
649,Sharp Objects,Gillian Flynn (Goodreads Author),4.02 avg rating — 1 020 209 ratings
650,The Book of Mormon: Another Testament of Jesus Christ,Joseph Smith Jr.,4.24 avg rating — 85 987 ratings
651,The Trigger: Hunting the Assassin Who Brought the World to War,Tim Butcher (Goodreads Author),3.79 avg rating — 4 004 ratings
652,Howl and Other Poems,Allen Ginsberg,4.13 avg rating — 110 590 ratings
653,The Witch of Blackbird Pond,Elizabeth George Speare,4.01 avg rating — 151 646 ratings
654,Tempted (House of Night  #6),P.C. Cast (Goodreads Author),3.95 avg rating — 166 505 ratings
655,The Death Cure (The Maze Runner  #3),James Dashner (Goodreads Author),3.78 avg rating — 443 235 ratings
656,Kingdom of Ash (Throne of Glass  #7),Sarah J. Maas (Goodreads Author),4.68 avg rating — 473 562 ratings
657,How to Win Friends and Influence People,Dale Carnegie,4.22 avg rating — 961 262 ratings
658,The Elegance of the Hedgehog,Muriel Barbery,3.80 avg rating — 182 816 ratings
659,Prodigy (Legend  #2),Marie Lu (Goodreads Author),4.23 avg rating — 260 556 ratings
660,The Hero of Ages (Mistborn  #3),Brandon Sanderson (Goodreads Author),4.53 avg rating — 413 305 ratings
661,The Alienist (Dr. Laszlo Kreizler  #1),Caleb Carr (Goodreads Author),4.06 avg rating — 172 451 ratings
662,I'd Tell You I Love You  But Then I'd Have to Kill You (Gallagher Girls  #1),Ally Carter (Goodreads Author),3.84 avg rating — 188 695 ratings
663,Anthem,Ayn Rand,3.62 avg rating — 154 442 ratings
664,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency  #1),Alexander McCall Smith (Goodreads Author),3.81 avg rating — 263 830 ratings
665,Love Story (Love Story  #1),Erich Segal,3.64 avg rating — 60 217 ratings
666,The Aeneid,Virgil,3.86 avg rating — 128 862 ratings
667,A Court of Mist and Fury (A Court of Thorns and Roses  #2),Sarah J. Maas (Goodreads Author),4.65 avg rating — 1 651 650 ratings
668,The Murder of Roger Ackroyd (Hercule Poirot  #4),Agatha Christie,4.27 avg rating — 267 516 ratings
669,Ivanhoe,Walter Scott,3.76 avg rating — 94 478 ratings
670,The Magic Mountain,Thomas Mann,4.13 avg rating — 48 812 ratings
671,The Big Sleep (Philip Marlowe  #1),Raymond Chandler,3.95 avg rating — 154 224 ratings
672,Rubinrot (Edelstein-Trilogie  #1),Kerstin Gier,4.13 avg rating — 152 534 ratings
673,Normal People,Sally Rooney (Goodreads Author),3.81 avg rating — 1 333 535 ratings
674,Message in a Bottle,Nicholas Sparks (Goodreads Author),3.97 avg rating — 237 005 ratings
675,Ender's Shadow (The Shadow Series  #1),Orson Scott Card,4.31 avg rating — 171 351 ratings
676,A Canticle for Leibowitz (St. Leibowitz  #1),Walter M. Miller Jr.,3.98 avg rating — 108 758 ratings
677,It's Kind of a Funny Story,Ned Vizzini,4.08 avg rating — 250 072 ratings
678,The Story of My Life,Helen Keller,4.08 avg rating — 147 086 ratings
679,One Fish  Two Fish  Red Fish  Blue Fish,Dr. Seuss,4.17 avg rating — 202 294 ratings
680,Confessions of a Shopaholic (Shopaholic  #1),Sophie Kinsella (Goodreads Author),3.69 avg rating — 744 748 ratings
681,Club Dead (Sookie Stackhouse  #3),Charlaine Harris (Goodreads Author),4.02 avg rating — 235 442 ratings
682,The Corrections,Jonathan Franzen,3.83 avg rating — 181 699 ratings
683,Digital Fortress,Dan Brown (Goodreads Author),3.69 avg rating — 633 393 ratings
684,Fourth Wing (The Empyrean  #1),Rebecca Yarros (Goodreads Author),4.61 avg rating — 1 219 252 ratings
685,Walk Two Moons,Sharon Creech,3.99 avg rating — 167 039 ratings
686,Song of Solomon,Toni Morrison,4.13 avg rating — 111 127 ratings
687,Angle of Repose,Wallace Stegner,4.24 avg rating — 59 025 ratings
688,The Invention of Hugo Cabret,Brian Selznick,4.22 avg rating — 182 537 ratings
689,Princess Academy (Princess Academy  #1),Shannon Hale (Goodreads Author),4.03 avg rating — 116 214 ratings
690,The Color of Magic (Discworld  #1; Rincewind  #1),Terry Pratchett,really liked it 4.00 avg rating — 383 775 ratings
691,Antigone (The Theban Plays  #3),Sophocles,3.66 avg rating — 151 075 ratings
692,Educated,Tara Westover (Goodreads Author),4.47 avg rating — 1 487 290 ratings
693,The Shell Seekers,Rosamunde Pilcher,4.18 avg rating — 109 822 ratings
694,Lover Revealed (Black Dagger Brotherhood  #4),J.R. Ward (Goodreads Author),4.29 avg rating — 136 473 ratings
695,Living Dead in Dallas (Sookie Stackhouse  #2),Charlaine Harris (Goodreads Author),3.96 avg rating — 251 901 ratings
696,Hard-Boiled Wonderland and the End of the World,Haruki Murakami,4.13 avg rating — 134 740 ratings
697,Ficciones,Jorge Luis Borges,4.42 avg rating — 66 598 ratings
698,The Jungle Books,Rudyard Kipling,4.01 avg rating — 87 328 ratings
699,Glass Houses (The Morganville Vampires  #1),Rachel Caine,3.91 avg rating — 100 648 ratings
700,One of Us Is Lying (One of Us is Lying  #1),Karen M. McManus (Goodreads Author),3.94 avg rating — 820 008 ratings
701,The Power of Myth,Joseph Campbell,4.26 avg rating — 50 965 ratings
702,One Day,David Nicholls,3.82 avg rating — 322 561 ratings
703,Around the World in Eighty Days,Jules Verne,3.94 avg rating — 244 770 ratings
704,The Edge of Never (The Edge of Never  #1),J.A. Redmerski (Goodreads Author),4.22 avg rating — 148 261 ratings
705,Tales of Old: Greek Mythology: Volume 1,Johnathon Nicolaou (Goodreads Author),4.37 avg rating — 177 ratings
706,Small Gods (Discworld  #13),Terry Pratchett,4.32 avg rating — 120 091 ratings
707,Caraval (Caraval  #1),Stephanie Garber (Goodreads Author),3.99 avg rating — 481 173 ratings
708,A _Court of Silver Flames (A Court of Thorns and Roses  #4),Sarah J. Maas (Goodreads Author),4.46 avg rating — 930 480 ratings
709,Because of Winn-Dixie,Kate DiCamillo (Goodreads Author),4.09 avg rating — 254 612 ratings
710,An Ember in the Ashes (An Ember in the Ashes  #1),Sabaa Tahir (Goodreads Author),4.25 avg rating — 288 486 ratings
711,Cryptonomicon (Crypto  #1),Neal Stephenson (Goodreads Author),4.24 avg rating — 111 770 ratings
712,Lover Avenged (Black Dagger Brotherhood  #7),J.R. Ward (Goodreads Author),4.36 avg rating — 115 199 ratings
713,The Eden Paradox (Eden Paradox  #1),Barry Kirwan (Goodreads Author),4.24 avg rating — 13 859 ratings
714,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan (Goodreads Author),4.18 avg rating — 203 556 ratings
715,Still Alice,Lisa Genova (Goodreads Author),4.32 avg rating — 339 517 ratings
716,Chasing the Devil: The Search for Africa's Fighting Spirit,Tim Butcher (Goodreads Author),4.13 avg rating — 1 863 ratings
717,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.16 avg rating — 731 802 ratings
718,Jude the Obscure,Thomas Hardy,3.83 avg rating — 71 399 ratings
719,Fire (Graceling Realm  #2),Kristin Cashore,4.10 avg rating — 184 930 ratings
720,Mort (Discworld  #4; Death  #1),Terry Pratchett,4.24 avg rating — 243 176 ratings
721,Naked Lunch,William S. Burroughs,3.46 avg rating — 90 702 ratings
722,My Name Is Asher Lev,Chaim Potok,4.23 avg rating — 41 104 ratings
723,An Abundance of Katherines,John Green (Goodreads Author),3.52 avg rating — 526 582 ratings
724,Orlando,Virginia Woolf,3.87 avg rating — 90 908 ratings
725,Worm Holes (Quantum Roots  #2),Kyle Keyes (Goodreads Author),4.34 avg rating — 2 203 ratings
726,The Moon Is a Harsh Mistress,Robert A. Heinlein,4.16 avg rating — 129 690 ratings
727,Archer's Voice,Mia Sheridan (Goodreads Author),4.24 avg rating — 409 548 ratings
728,The Portrait of a Lady,Henry James,3.79 avg rating — 80 113 ratings
729,Howards End,E.M. Forster,3.96 avg rating — 88 886 ratings
730,Mary Poppins (Mary Poppins  #1),P.L. Travers,4.01 avg rating — 132 641 ratings
731,The Namesake,Jhumpa Lahiri,4.01 avg rating — 268 002 ratings
732,Starship Troopers,Robert A. Heinlein,4.01 avg rating — 225 972 ratings
733,House of Earth and Blood (Crescent City  #1),Sarah J. Maas (Goodreads Author),4.50 avg rating — 585 792 ratings
734,Choke,Chuck Palahniuk (Goodreads Author),3.71 avg rating — 209 356 ratings
735,Swan Song,Robert McCammon,4.29 avg rating — 67 242 ratings
736,Holy Bible: New International Version,Anonymous,4.61 avg rating — 87 289 ratings
737,The Passage (The Passage  #1),Justin Cronin (Goodreads Author),4.04 avg rating — 210 900 ratings
738,Meditations,Marcus Aurelius,4.28 avg rating — 237 995 ratings
739,Shutter Island,Dennis Lehane (Goodreads Author),4.11 avg rating — 193 426 ratings
740,Finale (Hush  Hush  #4),Becca Fitzpatrick (Goodreads Author),4.12 avg rating — 173 847 ratings
741,The House in the Cerulean Sea (The House in the Cerulean Sea  #1),T.J. Klune (Goodreads Author),4.41 avg rating — 594 624 ratings
742,The Restaurant at the End of the Universe (The Hitchhiker's Guide to the Galaxy  #2),Douglas Adams,4.21 avg rating — 284 334 ratings
743,Wild Swans: Three Daughters of China,Jung Chang,4.28 avg rating — 112 246 ratings
744,Pale Fire,Vladimir Nabokov,4.16 avg rating — 50 237 ratings
745,Linger (The Wolves of Mercy Falls  #2),Maggie Stiefvater (Goodreads Author),3.88 avg rating — 169 195 ratings
746,A Darker Shade of Magic (Shades of Magic  #1),V.E. Schwab,4.06 avg rating — 352 318 ratings
747,The Forgotten Garden,Kate Morton (Goodreads Author),4.15 avg rating — 221 265 ratings
748,Mystic River,Dennis Lehane (Goodreads Author),4.17 avg rating — 144 434 ratings
749,Tender Is the Night,F. Scott Fitzgerald,3.79 avg rating — 135 382 ratings
750,Let the Right One In,John Ajvide Lindqvist,4.04 avg rating — 110 264 ratings
751,I Am the Messenger,Markus Zusak (Goodreads Author),4.03 avg rating — 159 901 ratings
752,Exodus,Leon Uris,4.34 avg rating — 98 865 ratings
753,If We Were Villains,M.L. Rio (Goodreads Author),4.18 avg rating — 257 111 ratings
754,Survivor,Chuck Palahniuk (Goodreads Author),3.93 avg rating — 117 812 ratings
755,The Assassin's Blade (Throne of Glass  #0.1-0.5),Sarah J. Maas (Goodreads Author),4.26 avg rating — 496 630 ratings
756,The Sea of Tranquility,Katja Millay (Goodreads Author),4.29 avg rating — 86 163 ratings
757,The Bridges of Madison County,Robert James Waller,3.68 avg rating — 96 183 ratings
758,Ethan Frome,Edith Wharton,3.44 avg rating — 126 213 ratings
759,Walking Disaster (Beautiful  #2),Jamie McGuire (Goodreads Author),4.15 avg rating — 196 408 ratings
760,Daughter of the Forest  (Sevenwaters  #1),Juliet Marillier (Goodreads Author),4.28 avg rating — 64 689 ratings
761,Gift from the Sea,Anne Morrow Lindbergh,4.15 avg rating — 50 867 ratings
762,Illusions: The Adventures of a Reluctant Messiah,Richard Bach (Goodreads Author),4.15 avg rating — 63 759 ratings
763,Nausea,Jean-Paul Sartre,3.94 avg rating — 117 343 ratings
764,Forrest Gump (Forrest Gump  #1),Winston Groom,4.03 avg rating — 68 111 ratings
765,The Hunt for Red October (Jack Ryan  #3),Tom Clancy,4.11 avg rating — 373 266 ratings
766,Winter (The Lunar Chronicles  #4),Marissa Meyer (Goodreads Author),4.42 avg rating — 275 343 ratings
767,Revolutionary Road,Richard Yates,3.92 avg rating — 87 845 ratings
768,The Awakening (Darkest Powers  #2),Kelley Armstrong (Goodreads Author),4.14 avg rating — 115 149 ratings
769,The Well of Ascension (Mistborn  #2),Brandon Sanderson (Goodreads Author),4.38 avg rating — 453 022 ratings
770,Absalom  Absalom!,William Faulkner,3.98 avg rating — 44 197 ratings
771,Cold Sassy Tree,Olive Ann Burns,4.02 avg rating — 102 984 ratings
772,A Study in Scarlet (Sherlock Holmes  #1),Arthur Conan Doyle,4.14 avg rating — 438 217 ratings
773,Fablehaven (Fablehaven  #1),Brandon Mull (Goodreads Author),4.13 avg rating — 163 519 ratings
774,84  Charing Cross Road,Helene Hanff,4.16 avg rating — 82 026 ratings
775,Kane & Abel (Kane & Abel  #1),Jeffrey Archer (Goodreads Author),4.33 avg rating — 121 057 ratings
776,The Hotel New Hampshire,John Irving (Goodreads Author),3.92 avg rating — 65 238 ratings
777,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,4.06 avg rating — 406 823 ratings
778,The Fall,Albert Camus,4.04 avg rating — 103 732 ratings
779,The Millennium Trilogy (Millennium Trilogy  #1-3),Stieg Larsson,4.47 avg rating — 55 060 ratings
780,The Reckoning (Darkest Powers  #3),Kelley Armstrong (Goodreads Author),4.18 avg rating — 116 446 ratings
781,Dreamfever (Fever  #4),Karen Marie Moning (Goodreads Author),4.38 avg rating — 101 642 ratings
782,The Sorrows of Young Werther,Johann Wolfgang von Goethe,3.69 avg rating — 128 742 ratings
783,Keeper of the Lost Cities,Shannon Messenger (Goodreads Author),4.42 avg rating — 75 630 ratings
784,The Sparrow (The Sparrow  #1),Mary Doria Russell (Goodreads Author),4.14 avg rating — 74 872 ratings
785,Dark Places,Gillian Flynn (Goodreads Author),3.95 avg rating — 741 712 ratings
786,Shakespeare's Sonnets,William Shakespeare,4.25 avg rating — 103 926 ratings
787,Tai-Pan (Asian Saga  #2),James Clavell,4.29 avg rating — 52 413 ratings
788,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.27 avg rating — 423 248 ratings
789,Specials (Uglies  #3),Scott Westerfeld (Goodreads Author),3.76 avg rating — 189 587 ratings
790,Gabriel's Inferno (Gabriel's Inferno  #1),Sylvain Reynard (Goodreads Author),3.98 avg rating — 157 919 ratings
791,Reflected in You (Crossfire  #2),Sylvia Day (Goodreads Author),4.30 avg rating — 348 716 ratings
792,Dead as a Doornail (Sookie Stackhouse  #5),Charlaine Harris (Goodreads Author),really liked it 4.00 avg rating — 216 852 ratings
793,Scythe (Arc of a Scythe  #1),Neal Shusterman (Goodreads Author),4.33 avg rating — 301 724 ratings
794,We,Yevgeny Zamyatin,3.89 avg rating — 95 838 ratings
795,The City of Ember (Book of Ember  #1),Jeanne DuPrau,3.89 avg rating — 279 960 ratings
796,The Pact,Jodi Picoult (Goodreads Author),4.03 avg rating — 306 205 ratings
797,A Million Little Pieces,James Frey,3.68 avg rating — 251 791 ratings
798,Definitely Dead (Sookie Stackhouse  #6),Charlaine Harris (Goodreads Author),4.01 avg rating — 203 350 ratings
799,The Gargoyle,Andrew  Davidson (Goodreads Author),3.97 avg rating — 48 984 ratings
800,Guilty Pleasures (Anita Blake  Vampire Hunter  #1),Laurell K. Hamilton (Goodreads Author),4.02 avg rating — 147 419 ratings
801,Where the Heart Is,Billie Letts,4.03 avg rating — 248 040 ratings
802,A Moveable Feast,Ernest Hemingway,4.02 avg rating — 149 586 ratings
803,Between Shades of Gray,Ruta Sepetys (Goodreads Author),4.37 avg rating — 238 994 ratings
804,A Connecticut Yankee in King Arthur's Court,Mark Twain,3.77 avg rating — 103 020 ratings
805,One Foot in the Grave (Night Huntress  #2),Jeaniene Frost (Goodreads Author),4.29 avg rating — 104 485 ratings
806,A Room of One’s Own,Virginia Woolf,4.21 avg rating — 201 734 ratings
807,The Golden Lily (Bloodlines  #2),Richelle Mead (Goodreads Author),4.31 avg rating — 118 230 ratings
808,Christy,Catherine Marshall,4.24 avg rating — 54 424 ratings
809,Lover Mine (Black Dagger Brotherhood  #8),J.R. Ward (Goodreads Author),4.39 avg rating — 112 737 ratings
810,Opal (Lux  #3),Jennifer L. Armentrout (Goodreads Author),4.25 avg rating — 150 867 ratings
811,Journey to the End of the Night,Louis-Ferdinand Céline,4.20 avg rating — 41 541 ratings
812,The Bonfire of the Vanities,Tom Wolfe,3.90 avg rating — 80 381 ratings
813,Crank (Crank  #1),Ellen Hopkins (Goodreads Author),4.16 avg rating — 144 275 ratings
814,Stoner,John  Williams,4.33 avg rating — 161 343 ratings
815,The Runaway Jury,John Grisham (Goodreads Author),4.02 avg rating — 302 875 ratings
816,Burned (House of Night  #7),P.C. Cast (Goodreads Author),3.97 avg rating — 157 755 ratings
817,The Amulet of Samarkand (Bartimaeus  #1),Jonathan Stroud (Goodreads Author),4.03 avg rating — 127 717 ratings
818,The Fountainhead,Ayn Rand,3.88 avg rating — 321 966 ratings
819,The Story of Edgar Sawtelle,David Wroblewski,3.64 avg rating — 98 677 ratings
820,Deception Point,Dan Brown (Goodreads Author),3.75 avg rating — 667 207 ratings
821,Pandemonium (Delirium  #2),Lauren Oliver (Goodreads Author),4.03 avg rating — 238 101 ratings
822,Still Life with Woodpecker,Tom Robbins,4.03 avg rating — 79 928 ratings
823,Childhood's End,Arthur C. Clarke,4.12 avg rating — 157 836 ratings
824,The Lucky One,Nicholas Sparks (Goodreads Author),4.12 avg rating — 360 007 ratings
825,Turtles All the Way Down,John Green (Goodreads Author),3.89 avg rating — 555 433 ratings
826,Beach Music,Pat Conroy,4.18 avg rating — 50 278 ratings
827,The Brief Wondrous Life of Oscar Wao,Junot Díaz,3.89 avg rating — 262 189 ratings
828,Night World  No. 1 (Night World  #1-3),L.J. Smith (Goodreads Author),4.06 avg rating — 64 630 ratings
829,Onyx (Lux  #2),Jennifer L. Armentrout (Goodreads Author),4.24 avg rating — 180 588 ratings
830,Valley of the Dolls,Jacqueline Susann,3.83 avg rating — 66 650 ratings
831,Safe Haven,Nicholas Sparks (Goodreads Author),4.22 avg rating — 380 319 ratings
832,The Turn of the Screw,Henry James,3.39 avg rating — 153 794 ratings
833,Sometimes a Great Notion,Ken Kesey,4.25 avg rating — 22 326 ratings
834,The Poetry of Robert Frost,Robert Frost,4.24 avg rating — 47 709 ratings
835,How Green Was My Valley,Richard Llewellyn,4.20 avg rating — 17 265 ratings
836,Easy (Contours of the Heart  #1),Tammara Webber (Goodreads Author),4.08 avg rating — 227 029 ratings
837,Thus Spoke Zarathustra,Friedrich Nietzsche,4.07 avg rating — 148 413 ratings
838,The Complete Persepolis,Marjane Satrapi,4.39 avg rating — 179 097 ratings
839,From Dead to Worse (Sookie Stackhouse  #8),Charlaine Harris (Goodreads Author),4.01 avg rating — 187 839 ratings
840,The House of Mirth,Edith Wharton,3.97 avg rating — 97 052 ratings
841,The Wedding (The Notebook  #2),Nicholas Sparks (Goodreads Author),3.99 avg rating — 159 555 ratings
842,Lady Midnight (The Dark Artifices  #1),Cassandra Clare (Goodreads Author),4.36 avg rating — 225 911 ratings
843,Becoming,Michelle Obama (Goodreads Author),4.46 avg rating — 1 029 394 ratings
844,The Dead Zone,Stephen King (Goodreads Author),3.96 avg rating — 221 290 ratings
845,Thoughtless (Thoughtless  #1),S.C. Stephens (Goodreads Author),4.09 avg rating — 139 825 ratings
846,Wizard and Glass (The Dark Tower  #4),Stephen King (Goodreads Author),4.26 avg rating — 197 079 ratings
847,On the Beach,Nevil Shute,3.97 avg rating — 44 102 ratings
848,Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,4.05 avg rating — 79 540 ratings
849,Will Grayson  Will Grayson,John Green (Goodreads Author),3.70 avg rating — 396 140 ratings
850,All Together Dead (Sookie Stackhouse  #7),Charlaine Harris (Goodreads Author),4.05 avg rating — 200 416 ratings
851,The Bhagavad Gita,Krishna-Dwaipayana Vyasa,4.17 avg rating — 71 244 ratings
852,The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,4.24 avg rating — 122 691 ratings
853,Hatchet (Brian's Saga  #1),Gary Paulsen,3.77 avg rating — 388 205 ratings
854,Roll of Thunder  Hear My Cry (Logans  #4),Mildred D. Taylor,3.89 avg rating — 124 294 ratings
855,Breaking Dawn (The Twilight Saga  #4),Stephenie Meyer,3.73 avg rating — 1 687 066 ratings
856,The Midnight Library,Matt Haig (Goodreads Author),really liked it 4.00 avg rating — 1 685 663 ratings
857,Dead and Gone (Sookie Stackhouse  #9),Charlaine Harris (Goodreads Author),4.02 avg rating — 187 822 ratings
858,The Ruins of Gorlan (Ranger's Apprentice  #1),John Flanagan,4.25 avg rating — 157 285 ratings
859,Passion (Fallen  #3),Lauren Kate (Goodreads Author),3.86 avg rating — 167 754 ratings
860,White Noise,Don DeLillo,3.86 avg rating — 113 679 ratings
861,Redwall (Redwall  #1),Brian Jacques,4.13 avg rating — 118 404 ratings
862,This Lullaby,Sarah Dessen (Goodreads Author),4.02 avg rating — 178 486 ratings
863,Animal Farm / 1984,George Orwell,4.30 avg rating — 196 681 ratings
864,On Earth We're Briefly Gorgeous,Ocean Vuong,4.05 avg rating — 288 681 ratings
865,Light in August,William Faulkner,3.94 avg rating — 61 591 ratings
866,The Monarch's Ring (The Lost Artefacts  #2),Johnathon Nicolaou (Goodreads Author),4.49 avg rating — 261 ratings
867,The Immortal Life of Henrietta Lacks,Rebecca Skloot (Goodreads Author),4.11 avg rating — 727 525 ratings
868,The Mysterious Benedict Society (The Mysterious Benedict Society  #1),Trenton Lee Stewart (Goodreads Author),4.20 avg rating — 159 485 ratings
869,Bitten (Otherworld  #1),Kelley Armstrong (Goodreads Author),4.02 avg rating — 101 959 ratings
870,Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi,4.06 avg rating — 145 100 ratings
871,The Rime of the Ancient Mariner,Samuel Taylor Coleridge,3.96 avg rating — 58 673 ratings
872,Isabella Warrior Queen,Michael G. Kramer (Goodreads Author),4.31 avg rating — 5 939 ratings
873,The Maltese Falcon,Dashiell Hammett,3.88 avg rating — 106 108 ratings
874,Faefever (Fever  #3),Karen Marie Moning (Goodreads Author),4.29 avg rating — 102 977 ratings
875,Everything  Everything,Nicola Yoon (Goodreads Author),3.98 avg rating — 612 397 ratings
876,Why They Stay: Sex Scandals  Deals  and Hidden Agendas of Eight Political Wives,Anne  Michaud (Goodreads Author),4.30 avg rating — 13 416 ratings
877,The Story of Ferdinand,Munro Leaf,4.36 avg rating — 91 832 ratings
878,Disgrace,J.M. Coetzee,3.85 avg rating — 105 317 ratings
879,Silas Marner,George Eliot,3.68 avg rating — 86 344 ratings
880,The Awakening / The Struggle (The Vampire Diaries  #1-2),L.J. Smith (Goodreads Author),3.68 avg rating — 90 381 ratings
881,Tiger's Curse (The Tiger Saga  #1),Colleen Houck (Goodreads Author),4.05 avg rating — 63 805 ratings
882,God Is the Cure  Love Is the Answer: A Memoir,Aimee Cabo Nikolov (Goodreads Author),4.29 avg rating — 18 389 ratings
883,Fantasy Lover (Hunter Legends  #1),Sherrilyn Kenyon (Goodreads Author),4.15 avg rating — 92 729 ratings
884,Wings (Wings  #1),Aprilynne Pike,3.76 avg rating — 80 840 ratings
885,The Drawing of the Three (The Dark Tower  #2),Stephen King (Goodreads Author),4.23 avg rating — 258 983 ratings
886,All the Pretty Horses (The Border Trilogy  #1),Cormac McCarthy,4.03 avg rating — 121 598 ratings
887,Heartless,Marissa Meyer (Goodreads Author),4.09 avg rating — 192 939 ratings
888,Red Dragon (Hannibal Lecter  #1),Thomas  Harris,4.06 avg rating — 329 930 ratings
889,The Taming of the Shrew,William Shakespeare,3.75 avg rating — 170 162 ratings
890,The Horse Whisperer,Nicholas Evans,3.84 avg rating — 58 221 ratings
891,The Tempest,William Shakespeare,3.79 avg rating — 207 970 ratings
892,The Far Pavilions,M.M. Kaye,4.20 avg rating — 43 950 ratings
,__ ___ __ __ __,___ _____ ______ (Goodreads Author),3.79 avg rating — 697 ratings
894,Hogfather (Discworld  #20; Death  #4),Terry Pratchett,4.25 avg rating — 93 718 ratings
895,These Is My Words: The Diary of Sarah Agnes Prine  1881-1901  Arizona Territories (Sarah Agnes Prine  #1),Nancy E. Turner,4.35 avg rating — 73 570 ratings
896,A Doll's House,Henrik Ibsen,3.76 avg rating — 142 875 ratings
897,Death Leaves a Shadow (Marlowe Black Mystery  #2),Gabriel F.W. Koch (Goodreads Author),4.30 avg rating — 16 375 ratings
898,The Guardian,Nicholas Sparks (Goodreads Author),4.16 avg rating — 181 428 ratings
899,Every Day (Every Day  #1),David Levithan (Goodreads Author),3.90 avg rating — 232 482 ratings
900,Songs of Innocence and of Experience,William Blake,4.09 avg rating — 48 438 ratings
901,The Last of the Mohicans (The Leatherstocking Tales  #2),James Fenimore Cooper,3.70 avg rating — 97 737 ratings
902,And the Mountains Echoed,Khaled Hosseini (Goodreads Author),4.07 avg rating — 367 972 ratings
903,The Man in the High Castle,Philip K. Dick,3.60 avg rating — 210 654 ratings
904,Smilla's Sense of Snow,Peter Høeg,3.74 avg rating — 49 009 ratings
905,Requiem for a Dream,Hubert Selby Jr.,4.10 avg rating — 60 139 ratings
906,The Collector,John Fowles,3.98 avg rating — 78 713 ratings
907,The Great Divorce,C.S. Lewis,4.31 avg rating — 148 220 ratings
908,A Passage to India,E.M. Forster,3.68 avg rating — 79 757 ratings
909,Blue Bloods (Blue Bloods  #1),Melissa de la Cruz (Goodreads Author),3.70 avg rating — 141 180 ratings
910,Running with Scissors,Augusten Burroughs (Goodreads Author),3.76 avg rating — 389 243 ratings
911,From Blood and Ash (Blood and Ash  #1),Jennifer L. Armentrout (Goodreads Author),4.24 avg rating — 533 817 ratings
912,Finding Hope in the Darkness of Grief: Spiritual Insights Expressed Through Art  Poetry and Prose,Diamante Lavendar (Goodreads Author),4.30 avg rating — 1 573 ratings
913,Along for the Ride,Sarah Dessen (Goodreads Author),4.04 avg rating — 206 543 ratings
914,Dead Witch Walking (The Hollows  #1),Kim Harrison (Goodreads Author),4.03 avg rating — 125 242 ratings
915,The Pilgrim's Progress,John Bunyan,4.04 avg rating — 136 818 ratings
916,Collected Fictions,Jorge Luis Borges,4.57 avg rating — 23 758 ratings
917,The Waves,Virginia Woolf,4.15 avg rating — 42 836 ratings
918,Eugene Onegin,Alexander Pushkin,4.10 avg rating — 63 832 ratings
919,Unearthly (Unearthly  #1),Cynthia Hand (Goodreads Author),4.01 avg rating — 126 940 ratings
920,Fingersmith,Sarah Waters,4.02 avg rating — 105 413 ratings
921,Suzanne's Diary for Nicholas,James Patterson (Goodreads Author),4.17 avg rating — 149 893 ratings
922,Dirk Gently's Holistic Detective Agency (Dirk Gently  #1),Douglas Adams,3.97 avg rating — 139 753 ratings
923,Beastly (Beastly  #1),Alex Flinn (Goodreads Author),3.82 avg rating — 176 219 ratings
924,Shot Down: The True Story of Pilot Howard Snyder and the Crew of the B-17 Susan Ruth,Steve Snyder (Goodreads Author),4.21 avg rating — 8 997 ratings
925,The Client,John Grisham (Goodreads Author),4.05 avg rating — 443 440 ratings
926,The Razor's Edge,W. Somerset Maugham,4.19 avg rating — 47 738 ratings
927,Timeline,Michael Crichton,3.86 avg rating — 205 735 ratings
