Rank, Book_Title, Author,Column1
60,Green Eggs and Ham,Dr. Seuss,4.31 avg rating — 767 314 ratings
61,Life of Pi,Yann Martel,3.93 avg rating — 1 609 698 ratings
62,A Tale of Two Cities,Charles Dickens,3.87 avg rating — 940 089 ratings
63,Lolita,Vladimir Nabokov,3.88 avg rating — 839 978 ratings
64,Dune (Dune  #1),Frank Herbert,4.27 avg rating — 1 309 922 ratings
65,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.10 avg rating — 1 357 898 ratings
66,Water for Elephants,Sara Gruen (Goodreads Author),4.11 avg rating — 1 603 994 ratings
67,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling,4.58 avg rating — 4 106 911 ratings
68,The Bell Jar,Sylvia Plath,4.05 avg rating — 934 203 ratings
69,Matilda,Roald Dahl,4.34 avg rating — 930 646 ratings
70,The Stand,Stephen King (Goodreads Author),4.35 avg rating — 752 933 ratings
71,Catch-22,Joseph Heller,3.99 avg rating — 826 607 ratings
72,The Pillars of the Earth (Kingsbridge  #1),Ken Follett (Goodreads Author),4.34 avg rating — 757 060 ratings
73,The Adventures of Sherlock Holmes (Sherlock Holmes  #3),Arthur Conan Doyle,4.30 avg rating — 298 184 ratings
74,Watership Down (Watership Down  #1),Richard  Adams,4.08 avg rating — 477 859 ratings
75,Rebecca,Daphne du Maurier,4.24 avg rating — 620 232 ratings
76,Great Expectations,Charles Dickens,3.79 avg rating — 794 894 ratings
77,Outlander (Outlander  #1),Diana Gabaldon (Goodreads Author),4.26 avg rating — 1 039 713 ratings
78,The Girl with the Dragon Tattoo (Millennium  #1),Stieg Larsson,4.17 avg rating — 3 152 865 ratings
79,The Color Purple,Alice Walker,4.27 avg rating — 672 893 ratings
80,One Flew Over the Cuckoo's Nest,Ken Kesey,4.20 avg rating — 727 297 ratings
81,Anna Karenina,Leo Tolstoy,4.09 avg rating — 838 455 ratings
82,My Sister's Keeper,Jodi Picoult (Goodreads Author),4.10 avg rating — 1 210 519 ratings
83,The Brothers Karamazov,Fyodor Dostoevsky,4.37 avg rating — 326 735 ratings
84,A Tree Grows in Brooklyn,Betty  Smith,4.29 avg rating — 460 850 ratings
85,A Clockwork Orange,Anthony Burgess,really liked it 4.00 avg rating — 706 310 ratings
86,The Road,Cormac McCarthy,3.99 avg rating — 891 797 ratings
87,And Then There Were None,Agatha Christie,4.28 avg rating — 1 329 505 ratings
88,To Kill a Mockingbird,Harper Lee,4.26 avg rating — 6 038 493 ratings
89,The Golden Compass (His Dark Materials  #1),Philip Pullman,4.02 avg rating — 1 514 027 ratings
90,Vampire Academy (Vampire Academy  #1),Richelle Mead (Goodreads Author),4.11 avg rating — 641 334 ratings
91,Siddhartha,Hermann Hesse,4.07 avg rating — 761 480 ratings
92,It,Stephen King (Goodreads Author),4.24 avg rating — 1 094 063 ratings
93,Angela's Ashes (Frank McCourt  #1),Frank McCourt,4.14 avg rating — 625 578 ratings
94,The Shining (The Shining  #1),Stephen King (Goodreads Author),4.27 avg rating — 1 467 273 ratings
95,The Complete Stories and Poems,Edgar Allan Poe,4.39 avg rating — 248 376 ratings
96,Interview with the Vampire (The Vampire Chronicles  #1),Anne Rice,4.02 avg rating — 583 006 ratings
