Rank,Book_Title,Author
468,Call It Sleep,Henry Roth
469,The Liberal Imagination,Lionel Trilling
470,Malone Dies,Samuel Beckett
471,All the Light We Cannot See,Anthony Doerr
472,Let Us Now Praise Famous Men,James Agee
473,Jimmy Corrigan  the Smartest Kid on Earth,Chris Ware
474,Angela's Ashes: A Memoir,Frank McCourt
475,The Moonstone,Wilkie Collins
476,The Sympathizer,Viet Thanh Nguyen
477,NW: A Novel,Zadie Smith
478,The Fifth Season,N. K. Jemisin
479,Tarzan of the Apes,Edgar Rice Burroughs
480,A Wizard of Earthsea,Ursula K. Le Guin
481,Crash: A Novel,J. G. Ballard
482,Moll Flanders,Daniel Defoe
483,The Haunting of Hill House,Shirley Jackson
484,Collected Poems of Dylan Thomas,Dylan Thomas
485,The Human Stain,Philip Roth
486,Jacques the Fatalist and His Master,Denis Diderot
487,Cold Mountain,Charles Frazier
488,Pilgrim at Tinker Creek,Annie Dillard
489,Dream of the Red Chamber,Cao Xueqin
490,I'm Not Stiller,Max Frisch
491,Ivanhoe,Walter Scott
492,The Duino Elegies,Rainer Maria Rilke
493,Life After Life,Kate Atkinson
494,Complete Poems,Elizabeth Bishop
495,My Brilliant Friend,Elena Ferrante
496,A Thousand Acres,Jane Smiley
497,The Private Memoirs and Confessions of a Justified Sinner,James Hogg
498,Loving,Henry Green
499,The Godfather,Mario Puzo
500,The Old Wives' Tale,Arnold Bennett
501,The Hours,Michael Cunningham
502,Ramayana,Valmiki
503,The Decline and Fall of the Roman Empire,Edward Gibbon
504,The Origins of Totalitarianism,Hannah Arendt
505,Giovanni's Room,James Baldwin
506,The Lover,Marguerite Duras
507,The Hunger Games,Suzanne Collins
508,In Our Time,Ernest Hemingway
509,Harry Potter and the Half-Blood Prince,J. K Rowling
510,Complete Poems of Giacomo Leopardi,Giacomo Leopardi
511,A Hero of Our Time,Mikhail Lermontov
512,Black Boy,Richard Wright
513,Collected Essays of George Orwell,George Orwell
514,The Bluest Eye,Toni Morrison
515,Nights At The Circus,Angela Carter
516,Cat's Cradle,Kurt Vonnegut
517,The Feynman Lectures on Physics,Richard P. Feynman
518,Selected Essays of T. S. Eliot,T. S. Eliot
519,The Third Policeman,Flann O'Brien
520,East of Eden,John Steinbeck
521,Uncle Tom's Cabin,Harriet Beecher Stowe
522,R. E. Lee,Douglas Southall Freeman
523,Corpus Aristotelicum,Aristotle
524,Lost Illusions,HonorŽ de Balzac
