        best_match_score  __id_left  __id_right  Rank_left                                                                            Book_Title_left                  Author_left  Rank_right                                                                            Book_Title_right                 Author_right
17087          -0.555721   517_left  1414_right      518.0                                           Demian. Die Geschichte von Emil Sinclairs Jugend                Hermann Hesse      1415.0                                                                                      Demian                Hermann Hesse
95113          -0.424649  2000_left  1015_right     2001.0                                                These Happy Golden Years (Little House  #8)         Laura Ingalls Wilder      1016.0                                                                 Little House on the Prairie         Laura Ingalls Wilder
87505          -0.359993  1872_left  1178_right     1873.0                                                                                   Os Maias               Ea de Queir—s      1179.0                                                      The Maias: Episodes from Romantic Life               Ea de Queir—s
105591         -0.320475  2171_left   170_right     2172.0                               The Oresteia: Agamemnon  The Libation Bearers  The Eumenides                    Aeschylus       171.0                                                                                    Oresteia                    Aeschylus
76449          -0.303542  1688_left  2371_right     1689.0                                                     Thud! (Discworld  #34; City Watch  #7)              Terry Pratchett      2372.0                                                                                 Night Watch              Terry Pratchett
43004          -0.296780  1126_left   627_right     1127.0                             The Tipping Point: How Little Things Can Make a Big Difference             Malcolm Gladwell       628.0                                                                           The Tipping Point             Malcolm Gladwell
41240          -0.296525  1074_left  2371_right     1075.0                                            Guards! Guards! (Discworld  #8; City Watch  #1)              Terry Pratchett      2372.0                                                                                 Night Watch              Terry Pratchett
19035          -0.251249   568_left    62_right      569.0                                                        Oedipus Rex  (The Theban Plays  #1)                    Sophocles        63.0                                                                            Oedipus the King                    Sophocles
53804          -0.158950  1304_left   285_right     1305.0                                                                               Pedro P‡ramo                   Juan Rulfo       286.0                                                                                Pedro Paramo                   Juan Rulfo
43895          -0.140349  1140_left   844_right     1141.0                                                 The Gormenghast Novels (Gormenghast  #1-3)                 Mervyn Peake       845.0                                                                                 Gormenghast                 Mervyn Peake
23362          -0.138461   674_left   724_right      675.0                                                     Ender's Shadow (The Shadow Series  #1)             Orson Scott Card       725.0                                                                                Ender's Game             Orson Scott Card
6138           -0.135993   246_left  1293_right      247.0                                                          The Crucible: A Play in Four Acts                Arthur Miller      1294.0                                                                                The Crucible                Arthur Miller
79627          -0.133496  1742_left   724_right     1743.0                                                                Xenocide (Ender's Saga  #3)             Orson Scott Card       725.0                                                                                Ender's Game             Orson Scott Card
102328         -0.129463  2118_left  2423_right     2119.0                                                           Bitterblue (Graceling Realm  #3)              Kristin Cashore      2424.0                                                                                   Graceling              Kristin Cashore
23876          -0.121753   690_left    85_right      691.0                                                            Antigone (The Theban Plays  #3)                    Sophocles        86.0                                                                                    Antigone                    Sophocles
4447           -0.106540   207_left  2444_right      208.0                                             The Girl Who Played with Fire (Millennium  #2)                Stieg Larsson      2445.0                                                             The Girl with the Dragon Tattoo                Stieg Larsson
2493           -0.105905   148_left  1015_right      149.0                                           The Little House Collection (Little House  #1-9)         Laura Ingalls Wilder      1016.0                                                                 Little House on the Prairie         Laura Ingalls Wilder
9843           -0.093596   347_left   158_right      348.0                                        Blood Meridian  or  the Evening Redness in the West              Cormac McCarthy       159.0                                                                              Blood Meridian              Cormac McCarthy
27452          -0.085483   771_left   132_right      772.0                                                   A Study in Scarlet (Sherlock Holmes  #1)           Arthur Conan Doyle       133.0                                                                The Complete Sherlock Holmes           Arthur Conan Doyle
94181          -0.058645  1993_left  1858_right     1994.0                                                               Legend (The Drenai Saga  #1)                David Gemmell      1859.0                                                                                      Legend                David Gemmell
11132          -0.049883   373_left  2412_right      374.0                                                            The Chosen (Reuven Malther  #1)                  Chaim Potok      2413.0                                                                                  The Chosen                  Chaim Potok
60976          -0.024299  1414_left  1436_right     1415.0                                                     Doomsday Book (Oxford Time Travel  #1)                Connie Willis      1437.0                                                                               Doomsday Book                Connie Willis
25379          -0.023025   718_left  2423_right      719.0                                                                 Fire (Graceling Realm  #2)              Kristin Cashore      2424.0                                                                                   Graceling              Kristin Cashore
16256          -0.022793   497_left  2372_right      498.0                                                            Trainspotting (Mark Renton  #2)                 Irvine Welsh      2373.0                                                                               Trainspotting                 Irvine Welsh
80141          -0.005093  1756_left   370_right     1757.0                                                         Second Foundation (Foundation  #3)                 Isaac Asimov       371.0                                                                                  Foundation                 Isaac Asimov
10910          -0.002454   370_left    94_right      371.0                                                                          Faust  First Part   Johann Wolfgang von Goethe        95.0                                                                                       Faust   Johann Wolfgang von Goethe
